mx_center 	 my_center 	 mz_center 	 Acc_X 	 Acc_Y 	 Acc_Z 	 Gcc_X 	 Gcc_Y 	 Gcc_Z 	 Mcc_X 	 Mcc_Y 	 Mcc_Z 	 heading 	 tiltheading 	 temper 	 pres 	 atm 	 alt
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.27 	-0.11 	0.65 	20.80 	-0.59 	-2.93 	358.39 	358.68 	23.59 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.13 	0.11 	-0.24 	0.58 	20.51 	-1.17 	-3.22 	356.73 	357.10 	23.59 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	0.04 	0.04 	1.13 	0.35 	0.06 	0.70 	20.51 	-0.88 	-2.93 	357.55 	357.81 	23.59 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.26 	-0.05 	0.49 	20.21 	-0.59 	-2.64 	358.34 	358.63 	23.60 	101566.00 	1.00 	-20.04 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.31 	-0.19 	0.74 	20.21 	-0.59 	-2.64 	358.34 	358.61 	23.59 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.50 	-0.12 	0.60 	20.21 	-1.17 	-2.34 	356.68 	356.92 	23.60 	101565.00 	1.00 	-19.96 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.13 	0.18 	-0.11 	0.83 	19.92 	-0.29 	-2.93 	359.16 	359.47 	23.59 	101564.00 	1.00 	-19.88 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.13 	0.18 	0.01 	0.28 	20.51 	-0.88 	-2.93 	357.55 	357.84 	23.59 	101565.00 	1.00 	-19.96 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.40 	0.08 	0.95 	20.21 	-0.29 	-2.93 	359.17 	359.48 	23.59 	101561.00 	1.00 	-19.63 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.48 	-0.22 	0.48 	19.63 	-0.29 	-2.64 	359.14 	359.43 	23.59 	101561.00 	1.00 	-19.63 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.33 	0.02 	0.74 	20.51 	-0.88 	-3.22 	357.55 	357.88 	23.58 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.04 	0.04 	1.13 	0.31 	0.11 	0.69 	20.21 	-0.88 	-3.22 	357.51 	357.84 	23.59 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.14 	0.34 	-0.14 	0.56 	20.51 	-1.17 	-2.93 	356.73 	357.06 	23.59 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.24 	-0.10 	0.69 	20.21 	0.00 	-2.93 	0.00 	0.31 	23.59 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	-0.10 	-0.04 	0.94 	20.51 	-0.59 	-2.64 	358.36 	358.64 	23.59 	101558.00 	1.00 	-19.38 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.13 	0.63 	0.03 	0.69 	19.63 	-0.88 	-2.93 	357.44 	357.76 	23.59 	101562.00 	1.00 	-19.71 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.28 	-0.01 	0.70 	19.63 	-0.88 	-2.93 	357.44 	357.75 	23.60 	101561.00 	1.00 	-19.63 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.14 	0.29 	0.17 	0.44 	20.21 	-0.59 	-2.64 	358.34 	358.61 	23.60 	101563.00 	1.00 	-19.80 	
0.00 	0.00 	0.00 	0.03 	0.05 	1.13 	0.37 	0.16 	0.60 	20.51 	-0.59 	-2.93 	358.36 	358.67 	23.59 	101561.00 	1.00 	-19.63 	
0.00 	0.00 	0.00 	0.04 	0.04 	1.13 	0.49 	-0.11 	0.61 	20.80 	-0.88 	-2.93 	357.58 	357.85 	23.59 	101560.00 	1.00 	-19.54 	
0.00 	0.00 	0.00 	0.04 	0.05 	1.13 	0.20 	-0.08 	0.54 	20.21 	-0.29 	-2.93 	359.17 	359.47 	23.58 	101561.00 	1.00 	-19.63 	
